"Data Import Template"
"Table:","Warehouse"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Warehouse","","","","","","","","","","","","","","","","",""
"Column Labels:","ID","Warehouse Name","Company","Created On","Created By","Is Group Warehouse","Parent Warehouse","Is Rejected Warehouse","Account","Phone No","Mobile No","Address Line 1","Address Line 2","City","State/Province","PIN","Warehouse Type","Default In-Transit Warehouse"
"Column Name:","name","warehouse_name","company","creation","owner","is_group","parent_warehouse","is_rejected_warehouse","account","phone_no","mobile_no","address_line_1","address_line_2","city","state","pin","warehouse_type","default_in_transit_warehouse"
"Mandatory:","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Type:","Data","Data","Link","Datetime","Link","Check","Link","Check","Link","Data","Data","Data","Data","Data","Data","Data","Link","Link"
"Info:","","","Valid Company","dd-mm-yyyy","Valid User","0 or 1","Valid Warehouse","0 or 1","Valid Account","","","","","","","","Valid Warehouse Type","Valid Warehouse"
"Start entering data below this line"
"","""Byculla Packaging Store - HIHPL""","Byculla Packaging Store","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.000481","Administrator",0,"Byculla Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Byculla RM Store - HIHPL""","Byculla RM Store","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.026423","Administrator",0,"Byculla Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Byculla Kitchen - HIHPL""","Byculla Kitchen","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.050869","Administrator",0,"Byculla Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Byculla FOH (SAME DAY) - HIHPL""","Byculla FOH (SAME DAY)","Hunger Inc Hospitality Private Limited","2026-05-11 12:00:35.733311","Administrator",0,"Byculla Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Byculla Utility & Housekeeping - HIHPL""","Byculla Utility & Housekeeping","Hunger Inc Hospitality Private Limited","2026-05-21 13:15:59.357161","Administrator",0,"Byculla Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Chembur Warehouse - HIHPL""","Chembur Warehouse","Hunger Inc Hospitality Private Limited","2026-05-06 16:11:39.606303","Administrator",1,"",0,"","","","","","","","","",""
"","""Chembur RM store - HIHPL""","Chembur RM store","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.080115","Administrator",0,"Chembur Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Chembur Kitchen - HIHPL""","Chembur Kitchen","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.107393","Administrator",0,"Chembur Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Chembur Bulk - HIHPL""","Chembur Bulk","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.139742","Administrator",0,"Chembur Warehouse - HIHPL",0,"","","","","","","","","",""
"","""CHEMBUR RETAIL - HIHPL""","CHEMBUR RETAIL","Hunger Inc Hospitality Private Limited","2026-05-11 12:02:55.362041","Administrator",0,"Chembur Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Chembur Ops - HIHPL""","Chembur Ops","Hunger Inc Hospitality Private Limited","2026-06-02 16:57:40.082667","Administrator",0,"Chembur Warehouse - HIHPL",0,"","","","","","","","","",""
"","""JWL Warehouse - HIHPL""","JWL Warehouse","Hunger Inc Hospitality Private Limited","2026-05-06 16:11:39.623339","Administrator",1,"",0,"","","","","","","","","",""
"","""JWL Storage - HIHPL""","JWL Storage","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.165125","Administrator",0,"JWL Warehouse - HIHPL",0,"","","","","","","","","",""
"","""Bhiwandi Warehouse - HIHPL""","Bhiwandi Warehouse","Hunger Inc Hospitality Private Limited","2026-05-06 16:11:39.642151","Administrator",1,"",0,"","","","","","","","","",""
"","""Bhiwandi Packaging Store - HIHPL""","Bhiwandi Packaging Store","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.199626","Administrator",0,"Bhiwandi Warehouse - HIHPL",0,"","","","","","","","","",""
"","""HK Outlet - HIHPL""","HK Outlet","Hunger Inc Hospitality Private Limited","2026-05-06 16:11:39.660795","Administrator",1,"",0,"","","","","","","","","",""
"","""HK- Vikhroli - HIHPL""","HK- Vikhroli","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.238163","Administrator",0,"HK Outlet - HIHPL",0,"","","","","","","","","",""
"","""HK- Chembur - HIHPL""","HK- Chembur","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.266826","Administrator",0,"HK Outlet - HIHPL",0,"","","","","","","","","",""
"","""HK- Juhu - HIHPL""","HK- Juhu","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.292017","Administrator",0,"HK Outlet - HIHPL",0,"","","","","","","","","",""
"","""HK- Malad - HIHPL""","HK- Malad","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.324421","Administrator",0,"HK Outlet - HIHPL",0,"","","","","","","","","",""
"","""HK- Andheri West - HIHPL""","HK- Andheri West","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.355020","Administrator",0,"HK Outlet - HIHPL",0,"","","","","","","","","",""
"","""HK - Goregaon East - HIHPL""","HK - Goregaon East","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.391205","Administrator",0,"HK Outlet - HIHPL",0,"","","","","","","","","",""
"","""HK - Borivali West - HIHPL""","HK - Borivali West","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.425563","Administrator",0,"HK Outlet - HIHPL",0,"","","","","","","","","",""
"","""HK- Vashi - HIHPL""","HK- Vashi","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.451869","Administrator",0,"HK Outlet - HIHPL",0,"","","","","","","","","",""
"","""HK- Thane Hiranandani - HIHPL""","HK- Thane Hiranandani","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.479885","Administrator",0,"HK Outlet - HIHPL",0,"","","","","","","","","",""
"","""HK- Mira Road - HIHPL""","HK- Mira Road","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.506628","Administrator",0,"HK Outlet - HIHPL",0,"","","","","","","","","",""
"","""HK - Sion (E) - HIHPL""","HK - Sion (E)","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.534153","Administrator",0,"HK Outlet - HIHPL",0,"","","","","","","","","",""
"","""HK- Kandivali - HIHPL""","HK- Kandivali","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.567933","Administrator",0,"HK Outlet - HIHPL",0,"","","","","","","","","",""
"","""HK- Dahisar - HIHPL""","HK- Dahisar","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.599228","Administrator",0,"HK Outlet - HIHPL",0,"","","","","","","","","",""
"","""HK- Marol - HIHPL""","HK- Marol","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.625844","Administrator",0,"HK Outlet - HIHPL",0,"","","","","","","","","",""
"","""HK- Vasant Vihar - HIHPL""","HK- Vasant Vihar","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.654950","Administrator",0,"HK Outlet - HIHPL",0,"","","","","","","","","",""
"","""HK- Gamdevi - HIHPL""","HK- Gamdevi","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.679954","Administrator",0,"HK Outlet - HIHPL",0,"","","","","","","","","",""
"","""HK- BKC - HIHPL""","HK- BKC","Hunger Inc Hospitality Private Limited","2026-05-06 16:12:36.711233","Administrator",0,"HK Outlet - HIHPL",0,"","","","","","","","","",""
"","""Kitchen - HIHPL""","Kitchen","Hunger Inc Hospitality Private Limited","2026-05-06 16:11:39.678252","Administrator",1,"",0,"","","","","","","","","",""
"","""Bandra Warehouse - HIHPL""","Bandra Warehouse","Hunger Inc Hospitality Private Limited","2026-05-06 16:11:39.695779","Administrator",1,"",0,"","","","","","","","","",""
