BSS — HyperKitchen/CakeZone SKU → ERP Item mapping,,,,,,,,,,,,
"No numeric key exists (HK Sku/Id ≠ ERP Shopify SKU) → matched by product name. REVIEW col E, then col J 'HK SKU to write' becomes the custom_hk_sku import.",,,,,,,,,,,,
,,,,,,,,,,,,
HK Id,Brand / Category,HK SKU,HK Product Name,Match quality,Score,ERP Item Code,ERP Item Name,ERP Shopify SKU,HK SKU to write,Size/qty check,Top full-catalog candidates,
10306726,Bombay Sweet Shop,10977,#_# Chilli Cheese Bhujia Mini (90g) - BSS,STRONG (shopify catalog),100,COMB-047,Chilli Cheese Bhujia Mini (90g)-Pack of 3,COMB-047,10977,,Chilli Cheese Bhujia Mini (90g)=Chilli Cheese Bhujia Mini (90g) (100) | BSS-1620=CHILLI CHEESE BHUJIA 90 GMS (RTS) (83) | Chilli Cheese Bhujia (225g)=Chilli Cheese Bhujia (225g) (81),
12846136,Bombay Sweet Shop,13243,#_# Choco Butterscotch Barks (300g) In Gift Box - BSS,STRONG (shopify catalog),100,BARK-CB-300GM,Choco Butterscotch Barks (300g) in Gift Box,BARK-CB-300GM,13243,,BARK-CB-300GM=Choco Butterscotch Barks (300g) in Gift Box (100) | BARK-CB-200GM=Choco Butterscotch Barks (200g)-Pack of 1 (80) | BSS-0458=STICKER - CHOCOLATE BUTTERSCOTCH BARKS BOP 90GMS (75),
10306493,Bombay Sweet Shop,9645,#_# Chocolate Butter Cookies - BSS,STRONG (shopify catalog),100,COMB-031,Chocolate Butter Cookies-Pack of 3,COMB-031,9645,,Chocolate Butter Cookies=Chocolate Butter Cookies (100) | BSS-1532=CHOCOLATE BUTTER COOKIES (RTS) (92) | BSS - 01 TEST=CHOCOLATE BUTTER COOKIES- RTS TEST (84),
10846755,Bombay Sweet Shop,11916,#_# Coffee Rasgulla Tiramisu - BSS,STRONG (shopify catalog),100,FRE-CRT-200GM-001,Coffee Rasgulla Tiramisu,FRE-CRT-200GM-001,11916,,BSS-1822=COFFEE RASGULLA TIRAMISU (100) | BSS-1813=COFFEE RASGULLA TIRAMISU (RTS) (92) | BSS-3728=COFFEE SYRUP FOR TIRAMISU (77),
17852748,Bombay Sweet Shop,16861,#_# Dark Chocolate Aam Bar - BSS,STRONG (shopify catalog),100,CHO-O-DCAB-50GM-001,Dark Chocolate Aam Bar,CHO-O-DCAB-50GM-001,16861,,CHO-O-DCAB-50GM-001=Dark Chocolate Aam Bar (100) | BSS-4364=2M DARK CHOCOLATE 72% (80) | BSS-1806=DARK CHOCOLATE COFFEE BARFI (73),
17852779,Bombay Sweet Shop,16862,#_# Dark Chocolate Mango Toffee - BSS,STRONG (shopify catalog),100,CHO-O-DCMT-75GM-001,Dark Chocolate Mango Toffee,CHO-O-DCMT-75GM-001,16862,,BSS-2711=DARK CHOCOLATE MANGO TOFFEE (100) | BSS-2742=DARK CHOCOLATE MANGO TOFFEE (RTS) (93) | BSS-4024=DARK CHOCOLATE MOUSSE (75),
22163837,Bombay Sweet Shop,20369,#_# Dry Fruit Bites - BSS,STRONG (shopify catalog),100,NUT-BITES-120GM-015,Dry Fruit Bites,NUT-BITES-120GM-015,20369,,NUT-BITES-120GM-015=Dry Fruit Bites (100) | Dry Fruit Burfi Box=Dry Fruit Burfi Box (70) | BSS-3256=BREAD FRUITS (66),
11057116,Bombay Sweet Shop,11995,#_# Guilt-Free Sweet Treats - Box of 3 - BSS,STRONG (shopify catalog),100,MITH-ASGF-3PCS,Guilt-free Sweet Treats - Box of 3,MITH-ASGF-3PCS,11995,,MITH-ASGF-3PCS=Guilt-free Sweet Treats - Box of 3 (100) | MITH-ASGF-9PCS=Guilt-free Sweet Treats - Box of 9 (96) | MITH-020-9PCS=Guilt-free Sweet Treats - Kaju Gud Barfi - Box of 9 (78),
15944643,Bombay Sweet Shop,9649,#_# Guilt-Free Sweet Treats - Box of 9 - BSS,STRONG (shopify catalog),100,MITH-ASGF-9PCS,Guilt-free Sweet Treats - Box of 9,MITH-ASGF-9PCS,9649,,MITH-ASGF-9PCS=Guilt-free Sweet Treats - Box of 9 (100) | MITH-ASGF-3PCS=Guilt-free Sweet Treats - Box of 3 (96) | MITH-020-9PCS=Guilt-free Sweet Treats - Kaju Gud Barfi - Box of 9 (81),
20042528,Bombay Sweet Shop,18583,#_# Himalayan Pink Salt Cashews - BSS,STRONG (shopify catalog),100,NUT-100GM-005,Himalayan Pink Salt Cashews,NUT-100GM-005,18583,,NUT-100GM-005=Himalayan Pink Salt Cashews (100) | BSS-3492=HIMALAYAN PINK SALT CASHEWS 50 GMS (88) | BSS-3082=HIMALAYAN PINK SALTED CASHEWS 100GMS (85),
